IP; Port; Location; MS; Proxy type; Safety
54.93.245.63; 80; Germany Frankfurt am Main; 3940 ms; HTTP; Alta
186.226.174.193; 80; Brazil Eunapolis; 1320 ms; HTTP; no
45.33.59.15; 3128; United States Fremont; 1020 ms; HTTPS; Alta
79.123.136.96; 3128; Turkey Erzincan; 1400 ms; HTTPS; Alta
116.228.227.211; 443; China; 840 ms; HTTPS; Alta
159.203.84.241; 3128; United States Clifton; 640 ms; HTTPS; Alta
137.74.64.243; 3128; France; 360 ms; HTTPS; Alta
122.55.250.90; 8080; Philippines; 5020 ms; HTTP; no
172.67.182.71; 80; United States; 120 ms; HTTP; no
172.67.181.25; 80; United States; 120 ms; HTTP; no
172.67.182.59; 80; United States; 160 ms; HTTP; no
172.67.181.42; 80; United States; 160 ms; HTTP; no
172.67.181.93; 80; United States; 160 ms; HTTP; no
172.67.181.77; 80; United States; 160 ms; HTTP; no
172.67.181.121; 80; United States; 160 ms; HTTP; no
203.13.32.196; 80; Cyprus; 100 ms; HTTP; no
172.67.178.110; 80; United States; 140 ms; HTTP; no
172.67.182.72; 80; United States; 100 ms; HTTP; no
172.67.182.137; 80; United States; 160 ms; HTTP; no
172.67.181.74; 80; United States; 160 ms; HTTP; no
172.67.181.33; 80; United States; 160 ms; HTTP; no
172.67.182.136; 80; United States; 160 ms; HTTP; no
172.67.181.84; 80; United States; 140 ms; HTTP; no
172.67.182.124; 80; United States; 120 ms; HTTP; no
172.67.182.100; 80; United States; 160 ms; HTTP; no
172.67.181.136; 80; United States; 440 ms; HTTP; no
172.67.182.45; 80; United States; 120 ms; HTTP; no
172.67.181.158; 80; United States; 100 ms; HTTP; no
172.67.182.3; 80; United States; 160 ms; HTTP; no
172.67.182.5; 80; United States; 200 ms; HTTP; no
172.67.182.14; 80; United States; 120 ms; HTTP; no
172.67.182.4; 80; United States; 160 ms; HTTP; no
172.67.182.31; 80; United States; 160 ms; HTTP; no
172.67.181.70; 80; United States; 160 ms; HTTP; no
172.67.182.93; 80; United States; 140 ms; HTTP; no
172.67.181.7; 80; United States; 120 ms; HTTP; no
172.67.182.63; 80; United States; 160 ms; HTTP; no
172.67.182.107; 80; United States; 140 ms; HTTP; no
172.67.182.119; 80; United States; 120 ms; HTTP; no
172.67.181.173; 80; United States; 120 ms; HTTP; no
172.67.181.63; 80; United States; 180 ms; HTTP; no
172.67.182.131; 80; United States; 160 ms; HTTP; no
172.67.181.120; 80; United States; 120 ms; HTTP; no
172.67.181.98; 80; United States; 160 ms; HTTP; no
172.67.181.49; 80; United States; 140 ms; HTTP; no
172.67.181.89; 80; United States; 160 ms; HTTP; no
172.67.181.55; 80; United States; 160 ms; HTTP; no
172.67.182.127; 80; United States; 120 ms; HTTP; no
172.67.182.79; 80; United States; 120 ms; HTTP; no
203.13.32.156; 80; Cyprus; 100 ms; HTTP; no
172.67.212.157; 80; United States; 120 ms; HTTP; no
142.93.130.126; 80; Netherlands Amsterdam; 240 ms; HTTP; Media
172.67.182.78; 80; United States; 140 ms; HTTP; no
172.67.182.149; 80; United States; 160 ms; HTTP; no
172.67.181.100; 80; United States; 140 ms; HTTP; no
172.67.181.103; 80; United States; 140 ms; HTTP; no
172.67.182.68; 80; United States; 180 ms; HTTP; no
172.67.182.134; 80; United States; 160 ms; HTTP; no
172.67.182.144; 80; United States; 160 ms; HTTP; no
172.67.182.49; 80; United States; 140 ms; HTTP; no
172.67.181.5; 80; United States; 280 ms; HTTP; no
172.67.181.145; 80; United States; 160 ms; HTTP; no
172.67.182.158; 80; United States; 160 ms; HTTP; no
172.67.182.55; 80; United States; 160 ms; HTTP; no
